Order_ID,Customer_ID,Product_ID,Region_ID,Order_Date_ID,Ship_Date_ID,Sales,Profit,Quantity,Discount,Sales_ID
CA-2014-156587,AB-10015,FUR-CH-10004477,544,1174,637,48.7120018,5.480100155,1,0.200000003,1
CA-2014-156587,AB-10015,OFF-ST-10002344,544,1174,637,242.9400024,4.858799934,3,0,2
CA-2014-156587,AB-10015,OFF-AR-10001427,544,1174,637,17.94000053,4.664400101,3,0,3
CA-2016-140935,AB-10015,FUR-BO-10003966,419,1391,1056,341.9599915,54.71360016,2,0,4
CA-2016-140935,AB-10015,TEC-PH-10000562,419,1391,1056,221.9799957,62.15439987,2,0,5
CA-2014-152905,AB-10015,OFF-ST-10000321,18,51,10,12.6239996,-2.524800062,2,0.200000003,6
CA-2017-107174,AB-10060,TEC-AC-10001465,545,3,950,108.9599991,32.68799973,3,0,7
CA-2017-107174,AB-10060,FUR-CH-10003312,545,3,950,449.5679932,-73.05480194,2,0.200000003,8
CA-2017-107174,AB-10060,FUR-TA-10004575,545,3,950,2036.859985,366.6347961,7,0,9
CA-2017-134173,AB-10060,OFF-PA-10004355,453,684,33,20.73600006,7.257599831,4,0.200000003,10
CA-2017-159688,AB-10060,TEC-AC-10000736,322,234,1173,79.98999786,28.79640007,1,0,11
US-2016-108637,AB-10060,FUR-FU-10004864,610,464,353,127.8799973,40.92160034,2,0,12
US-2016-108637,AB-10060,OFF-AP-10004540,610,464,353,160.3200073,44.88959885,2,0,13
CA-2016-161207,AB-10060,OFF-SU-10000381,115,426,252,27.93000031,8.099699974,3,0,14
US-2016-108637,AB-10060,OFF-BI-10004965,610,464,353,46,20.70000076,4,0,15
CA-2016-129714,AB-10060,TEC-AC-10000290,397,957,252,6.789999962,2.308599949,1,0,16
CA-2015-150511,AB-10060,OFF-PA-10001776,146,924,970,18.54000092,8.71380043,2,0,17
CA-2016-129714,AB-10060,OFF-BI-10002160,397,957,252,3.048000097,1.066799998,1,0.200000003,18
CA-2016-129714,AB-10060,OFF-BI-10004995,397,957,252,4355.167969,1415.429565,4,0.200000003,19
CA-2016-129714,AB-10060,OFF-PA-10001970,397,957,252,24.55999947,11.54319954,2,0,20
CA-2016-129714,AB-10060,OFF-PA-10001970,397,957,252,49.11999893,23.08639908,4,0,21
CA-2017-118213,AB-10060,OFF-PA-10002615,218,1271,549,4.409999847,2.028599977,1,0,22
CA-2017-118213,AB-10060,OFF-PA-10003673,218,1271,549,67.80000305,31.18799973,10,0,23
CA-2017-118213,AB-10060,OFF-PA-10000565,218,1271,549,167.9400024,82.29060364,3,0,24
CA-2017-101042,AB-10105,FUR-FU-10004665,232,819,82,821.8800049,213.688797,6,0,25
CA-2017-101042,AB-10105,OFF-BI-10000088,232,819,82,21.95999908,10.76039982,2,0,26
CA-2015-163181,AB-10105,OFF-BI-10000474,247,231,1148,32.06000137,-51.29600143,10,0.800000012,27
CA-2015-163181,AB-10105,OFF-AR-10001683,247,231,1148,23.63999939,5.318999767,3,0.200000003,28
CA-2015-163181,AB-10105,OFF-ST-10001713,247,231,1148,84.78399658,-16.95680046,2,0.200000003,29
CA-2015-163181,AB-10105,TEC-MA-10001016,247,231,1148,287.9100037,33.58950043,3,0.400000006,30
CA-2017-153822,AB-10105,OFF-ST-10000321,454,369,422,12.6239996,-2.524800062,2,0.200000003,31
CA-2017-153822,AB-10105,TEC-AC-10000109,454,369,422,89.58399963,4.479199886,2,0.200000003,32
CA-2017-121643,AB-10105,TEC-PH-10002200,468,228,934,344.70401,38.77920151,2,0.200000003,33
CA-2015-163181,AB-10105,OFF-ST-10000129,247,231,1148,177.647995,-28.86779976,2,0.200000003,34
CA-2015-163181,AB-10105,FUR-FU-10000193,247,231,1148,64.95999908,-84.44799805,5,0.600000024,35
CA-2017-153822,AB-10105,TEC-PH-10002415,454,369,422,471.9200134,29.49500084,2,0.200000003,36
CA-2017-153822,AB-10105,OFF-BI-10001460,454,369,422,18.18000031,-13.93799973,4,0.699999988,37
CA-2016-147431,AB-10105,OFF-ST-10003994,398,691,206,117.9599991,5.897999763,2,0,38
CA-2017-126788,AB-10105,TEC-PH-10001619,443,454,999,470.3760071,52.91730118,3,0.200000003,39
CA-2016-117121,AB-10105,OFF-BI-10000545,148,1130,633,9892.740234,4946.370117,13,0,40
US-2016-122245,AB-10105,FUR-TA-10002356,454,1227,1075,393.1650085,-204.4458008,3,0.5,41
CA-2017-140781,AB-10105,TEC-AC-10000682,47,1308,569,39.81600189,7.465499878,3,0.200000003,42
CA-2014-103100,AB-10105,OFF-BI-10004600,254,835,1039,1103.969971,496.786499,3,0,43
CA-2014-103100,AB-10105,OFF-LA-10003720,254,835,1039,3.690000057,1.734300017,1,0,44
US-2014-139500,AB-10165,FUR-CH-10002017,140,1046,292,37.29600143,-1.065600038,2,0.300000012,45
CA-2015-144043,AB-10165,TEC-AC-10002718,328,1176,754,46.68799973,-2.917999983,4,0.200000003,46
CA-2017-126634,AB-10165,FUR-FU-10004973,289,1198,759,94.19999695,39.56399918,5,0,47
CA-2015-131534,AB-10165,TEC-AC-10002253,325,1211,916,166.2400055,24.93600082,1,0,48
CA-2015-131534,AB-10165,OFF-PA-10000743,325,1211,916,33.40000153,16.03199959,5,0,49
CA-2017-145737,AB-10165,OFF-PA-10001033,305,1232,903,163.9600067,59.4355011,5,0.200000003,50
CA-2017-131212,AB-10165,OFF-BI-10000145,42,37,1017,14.97599983,5.428800106,6,0.200000003,51
CA-2017-131212,AB-10165,OFF-BI-10001617,42,37,1017,24.81599998,8.37539959,3,0.200000003,52
CA-2015-115945,AB-10165,OFF-ST-10001963,326,1351,236,304.230011,9.126899719,3,0,53
CA-2015-115945,AB-10165,OFF-AR-10004062,326,1351,236,20.95999908,5.239999771,2,0,54
CA-2015-115945,AB-10165,OFF-BI-10004330,326,1351,236,88.7519989,27.73500061,3,0.200000003,55
CA-2017-144932,AB-10165,OFF-AR-10001468,583,350,166,89.85600281,21.34079933,3,0.200000003,56
CA-2017-144932,AB-10165,OFF-AR-10003560,583,350,166,14.59200001,2.553600073,3,0.200000003,57
CA-2017-144932,AB-10165,OFF-PA-10004971,583,350,166,13.87199974,5.028600216,3,0.200000003,58
CA-2015-158323,AB-10600,FUR-FU-10001546,262,211,330,17.08799934,1.067999959,2,0.200000003,59
CA-2014-115336,AB-10600,OFF-BI-10001107,92,681,1200,14.47999954,-23.8920002,5,0.800000012,60
US-2017-155425,AB-10600,TEC-PH-10002563,588,757,1300,201.5839996,15.11880016,2,0.200000003,61
CA-2015-111234,AB-10600,OFF-LA-10002271,322,1073,1403,9.239999771,4.435200214,3,0,62
US-2017-155425,AB-10600,FUR-CH-10003312,588,757,1300,899.1359863,-146.1096039,4,0.200000003,63
US-2017-155425,AB-10600,OFF-BI-10001036,588,757,1300,38.38800049,-25.59199905,14,0.699999988,64
US-2017-155425,AB-10600,TEC-AC-10001314,588,757,1300,239.9519958,-35.99280167,6,0.200000003,65
US-2017-155425,AB-10600,TEC-MA-10003183,588,757,1300,95.9940033,-63.99599838,2,0.699999988,66
US-2014-167262,AC-10450,TEC-PH-10000486,32,311,111,742.3359985,83.51280212,8,0.200000003,67
CA-2017-141789,AC-10450,OFF-BI-10001359,365,258,447,1793.97998,843.1705933,2,0,68
CA-2017-158729,AC-10450,OFF-SU-10002881,282,349,1415,1665.619995,33.31240082,2,0,69
CA-2015-164441,AC-10450,OFF-PA-10001667,398,413,90,17.94000053,8.072999954,3,0,70
CA-2015-164441,AC-10450,OFF-BI-10001922,398,413,90,52.27199936,17.64179993,11,0.200000003,71
US-2015-106495,AC-10450,TEC-AC-10002718,571,382,57,11.67199993,-0.729499996,1,0.200000003,72
CA-2016-116232,AC-10450,OFF-LA-10001158,444,1404,690,16.55999947,5.796000004,2,0.200000003,73
CA-2016-163573,AC-10450,OFF-BI-10004632,545,1407,1172,1219.959961,381.2374878,5,0.200000003,74
CA-2016-116232,AC-10450,OFF-BI-10004022,444,1404,690,7.506000042,-6.004799843,9,0.699999988,75
CA-2016-161928,AC-10660,TEC-PH-10003484,528,367,149,201.5839996,12.59899998,2,0.200000003,76
CA-2017-135650,AC-10660,OFF-ST-10001809,252,436,1367,143.7279968,-32.33879852,2,0.200000003,77
CA-2016-158617,AC-10660,OFF-PA-10002245,300,1404,1428,35.88000107,16.14599991,6,0,78
